product_code,product_description,product_group,sales_date,price,sales_quantity,unit,sales_amount
1001,tomato,vegetable,2021-11-01,2.99,36,kg,36.0
1001,tomato,vegetable,2021-11-02,2.99,23,kg,23.0
1001,tomato,vegetable,2021-11-03,2.99,34,kg,34.0
1001,tomato,vegetable,2021-11-04,2.99,23,kg,23.0
1001,tomato,vegetable,2021-11-05,2.99,34,kg,34.0
1001,tomato,vegetable,2021-11-06,2.99,20,kg,20.0
1001,tomato,vegetable,2021-11-07,2.99,21,kg,21.0
1001,tomato,vegetable,2021-11-08,2.99,20,kg,20.0
1001,tomato,vegetable,2021-11-09,2.99,31,kg,31.0
1001,tomato,vegetable,2021-11-10,2.99,34,kg,34.0
1001,tomato,vegetable,2021-11-11,3.121034482758621,20,kg,20.0
1001,tomato,vegetable,2021-11-12,2.99,22,kg,22.0
1001,tomato,vegetable,2021-11-13,2.99,26,kg,26.0
1001,tomato,vegetable,2021-11-14,2.99,38,kg,38.0
1001,tomato,vegetable,2021-11-15,3.49,38,kg,38.0
1001,tomato,vegetable,2021-11-16,3.49,28,kg,28.0
1001,tomato,vegetable,2021-11-17,3.49,29,kg,29.0
1001,tomato,vegetable,2021-11-18,3.49,36,kg,36.0
1001,tomato,vegetable,2021-11-19,3.49,37,kg,37.0
1001,tomato,vegetable,2021-11-20,3.49,27,kg,27.0
1001,tomato,vegetable,2021-11-21,3.49,22,kg,22.0
1001,tomato,vegetable,2021-11-22,3.49,22,kg,22.0
1001,tomato,vegetable,2021-11-23,3.49,30,kg,30.0
1001,tomato,vegetable,2021-11-24,2.89,39,kg,39.0
1001,tomato,vegetable,2021-11-25,2.89,25,kg,25.0
1001,tomato,vegetable,2021-11-26,2.89,21,kg,21.0
1001,tomato,vegetable,2021-11-27,2.89,38,kg,38.0
1001,tomato,vegetable,2021-11-28,2.89,26,kg,26.0
1001,tomato,vegetable,2021-11-29,2.89,24,kg,24.0
1001,tomato,vegetable,2021-11-30,2.89,21,kg,21.0
1002,cucumber,vegetable,2021-11-01,4.29,22,kg,22.0
1002,cucumber,vegetable,2021-11-02,4.29,20,kg,20.0
1002,cucumber,vegetable,2021-11-03,4.29,37,kg,37.0
1002,cucumber,vegetable,2021-11-04,4.29,30,kg,30.0
1002,cucumber,vegetable,2021-11-05,4.532857142857143,24,kg,24.0
1002,cucumber,vegetable,2021-11-06,4.29,36,kg,36.0
1002,cucumber,vegetable,2021-11-07,4.29,20,kg,20.0
1002,cucumber,vegetable,2021-11-08,4.532857142857143,38,kg,38.0
1002,cucumber,vegetable,2021-11-09,4.49,25,kg,25.0
1002,cucumber,vegetable,2021-11-10,4.49,33,kg,33.0
1002,cucumber,vegetable,2021-11-11,4.49,24,kg,24.0
1002,cucumber,vegetable,2021-11-12,4.49,29,kg,29.0
1002,cucumber,vegetable,2021-11-13,4.49,25,kg,25.0
1002,cucumber,vegetable,2021-11-14,4.49,38,kg,38.0
1002,cucumber,vegetable,2021-11-15,4.49,28,kg,28.0
1002,cucumber,vegetable,2021-11-16,4.49,27,kg,27.0
1002,cucumber,vegetable,2021-11-17,4.49,34,kg,34.0
1002,cucumber,vegetable,2021-11-18,4.49,21,kg,21.0
1002,cucumber,vegetable,2021-11-19,4.69,32,kg,32.0
1002,cucumber,vegetable,2021-11-20,4.69,28,kg,28.0
1002,cucumber,vegetable,2021-11-21,4.69,31,kg,31.0
1002,cucumber,vegetable,2021-11-22,4.69,24,kg,24.0
